job_title,company,description,link,pub_date
Full Stack Developer,Rethink,"Looking to add a .NET Developer to a very successful and growing team. Candidate will develop, design, test and deploy websites as well as support and maintain existing functionality. Candidate should be experienced and productive with Microsoft development technologies. A solid understanding of design patterns, object orientation and best practices is a must. Candidate should be skilled and experienced with the C# language, the .Net platform, Microsoft web technologies and Microsoft development technologies. Mobile application development is a plus. Requirements include: C#, .NET Core, SQL Server, Javascript, MVC framework, HTML/CSS, Angular 2+, TypeScript. Preferred Skills: Dev Ops. Job Type: Full-time Pay: $50.00 - $60.00 per hour Experience: HTML5: 1 year (Preferred) .NET Core: 1 year (Preferred) CSS: 1 year (Preferred) SQL: 1 year (Preferred) Angular 2+: 1 year (Preferred)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CqE2-id7EfMm1FhJA6gaLYsBEgffzgHDpWn7lwjgOSmZ4EyhPxZPnft-n3CEYzF8EBeejT0PmXnvZ_d-jhBZBfBFcHwOhHHgQxiSjkii6BVKw2bAXKGflcwLIe0dwyxljK2lbeSoDB85Lbtr_hDeOdHmOtGqzsCjj5vt_n8D8JhHZ4iBbcjg2bDHOrX4ldUueWb6xHm08KjUtXCXiT_IA0T6S3_iWS079Ja-CRxJ-UezjSY2jStffT3mBg1JfMoeYTnFwYZhaMlHCSSq2-LfABqRYMbZ2gGZlnxOqtnW36N4dVa4taf9JtDA1XPaHjH7Z4GTJstk2nunQoschNaQCjCSwoTzukiDePM7m90Riy3NCYIBpNVIHoF1PIexbJ01kZ4E1afDGlGmudZZMeuZFBD7mzITC78Hen8QjAjHtGcZ1qzIusWF3fLlahU2k0tLYG-laNA1MyVXt5SQLV6BFQK-uXUNQDiZMZXak1MswqPsEHhRFq3RAgznw97Lg0KOShrFz-7TvTs9pbEElP8SChlxYEM0WTUSV_6V12JB1BSKxCuzP1LeYarJbFomINtuOhJEfJV-LmFUHVgD9V81tMBtcvjQ_G8I8ouhtnuUIBe2HNnd3OWSCfv2Jnh1YDtgli1OUHp_qaAX8Z6oImMNZ5jrv-srQXOaDtZZ8SMDf2rw==&xkcb=SoC36_M3sAhVaCQpV50KbzkdCdPP&camk=PWNeRUN351hllw5QaT9Tlg==&p=0&fvj=0&vjs=3,Not available
"Software Engineer, Product",Doppel,"Why Join Doppel Doppel is built to outsmart one of the great threats AI presents: mass-manufactured social engineering. Countless scams, deepfakes, and other social engineering attacks are surging across every digital channel: websites, social media, ads, encrypted messaging apps, mobile, and more. Our mission is simple but bold: make the internet a safer place by outsmarting the world’s fastest-evolving digital threats. Backed by top-tier investors and trusted by some of the world’s most recognized brands, Doppel is growing fast. If you’re driven to solve real-world problems with bold technology, we’d love to meet you. What We're Building We're building the AI-native social engineering defense platform. This means we're designing scalable systems that monitor billions of domains, social media accounts, apps, dark web forums, etc., and leverage AI agents to identify and neutralize digital threats. What We're Looking For We're hiring across all levels and looking for fast-moving, customer-obsessed engineers who want to have outsized impact and ownership on a lean, high-performing team. Our compensation philosophy reflects this with above-market equity offers, and you’ll get the opportunity to join a rapidly growing company that’s making the Internet a safer place every day. We're in-person in NYC, 3 days a week. We’re looking for evidence of outstanding ability and hustle. As for our tech stack: Backend Python, PostgreSQL, Data Pipelines, Google Cloud, AI models Frontend ReactJS, GraphQL, Typescript What We Offer A mission-driven culture with low ego, high ownership, deep customer obsession, and exceptional talent density Free lunch and dinner in the office Flexible PTO Quarterly team offsites Join Doppel Doppel is the first platform built to dismantle digital deception at scale. We scan over 150 million entities daily and deploy continuously adaptive AI SOC agents, paired with expert human analysts, to uncover and disrupt the infrastructure behind phishing, impersonation, and online fraud before attacks can spread. Our Threat Grid turns every customer signal into shared intelligence, making each disruption smarter, faster, and more effective. We’re not just another cybersecurity company. We’re defining the future of social engineering defense, where trust is protected, and deception becomes unprofitable. Backed by top-tier investors and trusted by some of the world’s most recognized brands, Doppel is growing fast. If you’re driven to solve real-world problems with bold technology, we’d love to meet you. Compensation Range: $135K - $300K",https://www.indeed.com/rc/clk?jk=9158a598a24220d7&bb=5MUgExI1yxvdSBu4tCRsLVUPidkn3ib3F4xVSBPGVym0jWC5r9mQQgEl3bd0QHdWdoJpzYBH3MsPPos5LHz3TAVID8-LKQdXIfJTNFp9jQbs26ddIx4gVzarBIuQyWXZpPS9d7dM90txPZodM_OKgA%3D%3D&xkcb=SoDe67M3sAhVaCQpV50JbzkdCdPP&fccid=2f699ef4fff24dcf&vjs=3,Not available
Software Engineer,Middesk,"About Middesk Middesk makes it easier for businesses to work together. Since 2018, we’ve been transforming business identity verification, replacing slow, manual processes with seamless access to complete, up-to-date data. Our platform helps companies across industries confidently verify business identities, onboard customers faster, and reduce risk at every stage of the customer lifecycle. Middesk came out of Y Combinator, is backed by Sequoia Capital and Accel Partners, and was recently named to Forbes Fintech 50 List and cited as an industry leader in business verification by digital identity strategy firm, Liminal. About Middesk Engineering: We believe ""velocity"" is the rate at which we effect realized value for our customers, not the rate at which we ship code. And this pushes us to center our work around customers; how will this change I'm about to make help our customers get jobs done? When we’re coding, we're making hundreds of micro-decisions about user experience that add up. How can I communicate this exception to our customers in a manner that helps them understand what's happened and unblock themselves? Middesk Engineering is customer-first engineering. (check out our blog post on the topic). The Role: Engineers have the freedom to create a lot of impact for our customers. The role requires high agency and comfort with change. It requires people who believe the interesting problems in Engineering are stack-agnostic. It requires Engineers who believe that solving customer problems quickly is what matters first; building scalable systems matters when customer problems are scaling problems. We follow a hybrid work model, and for this role, there is an expectation of 2 days per week in our SF or NYC office. Candidates should be based within a commutable distance, as we believe in the value of in-person collaboration and building strong team connections while also supporting flexibility where possible. What You'll Do: Work in React, Redux, Ruby, Rails, Postgres, and potentially Scala, Python, and Go to solve problems for our customers. Dive into all layers of the stack; frontend, backend, API, data processors, etc. Jam with Product Managers, Designers, Ops, and other Engineers every day to shape the direction of our products. Share your knowledge with others in Engineering; people should get better at their craft because they work with you. Even if you’re early in your career, you have something to teach. Contribute to the psychological safety of your team. Software is built by groups of people, and good relationships matter. Help us interview and hire other Engineers. What We’re Looking For: While we agree the interesting problems in Engineering are stack-agnostic, we’d love it if you had experience with a couple of the languages in our stack (see the first point above). We’ve found that Engineers with prior stack experience usually ramp faster. You’ve worked for a high-growth, venture-backed startup before and are looking for a similar role. Or, you've founded a company and are looking to get back into it. You’ve been working as a professional Software Engineer for at least three or more years. You understand SaaS business fundamentals (e.g. annual contract value, customer acquisition cost, and annual-recurring revenue) and can demonstrate how the work you’ve done influences these metrics. Compensation Range: $148K - $230K",https://www.indeed.com/rc/clk?jk=2e305ceddf8a4a04&bb=5MUgExI1yxvdSBu4tCRsLXYEA77S781fKA1Lc4NJ1igbmRLxfsiissS3eSVcwO_TV7RzlRnbRh9NtQ8K1L_hNVydK1OemWV08GrJ8xSglGjVbxQifEqU5UxYdxpUNAb25_cZW5wly83RkmKHFVWu3A%3D%3D&xkcb=SoBq67M3sAhVaCQpV50IbzkdCdPP&fccid=f292717c32fd0fce&vjs=3,Not available
Full Stack Engineer,Melio,"Full Stack Engineer Location: Hybrid in NYC (3 day in-office requirement) Qualifications: 4-5+ years of professional experience as a software engineer with frontend and backend development. Hands on experience with Node.js and TypeScript (at least 1+ years) Experience working with at least one of the following frameworks: React/Vue/Angular. A familiarity of production systems and the web product architecture. Independent, fast learner and excited about learning new technologies. Proactive team player with a desire to impact our team, our product and our customers. Bonus points: Experience working on an API as a product, or other products for engineers Familiarity with AWS, Lambda, and cloud architecture A day in the life and how you'll make an impact: As a Full Stack Engineer in the Partnerships Integration team, your day will involve building and maintaining integrations with high-profile partners such as Capital One, Shopify, and Fiserv, helping bring Melio's platform capabilities to these partners. You will play a critical role in creating custom solutions for these partners, allowing small businesses to manage their payments more efficiently and at various touch points. We are constantly iterating on our platform to ensure a smooth integration process for partners while maintaining flexibility and speed in launching new features. Your work will span the entire stack, including building APIs and integrating external systems. You'll interact with various parts of the system, from the back-end to the front-end, hence your work will involve dealing with diverse data structures and user interfaces. You'll work with technologies like AWS Lambda, Node.js, TypeScript, React, GraphQL, and MySQL to make this possible. We're building REST APIs that we use internally and share externally, and new products based on these. Cross-collaborate and discuss with other team members about current issues or future improvements, writing code to implement new features or fix bugs, conducting code reviews, and deploying updates. You will collaborate with internal teams and partner stakeholders to ensure the system is robust, scalable, and meets partner requirements. About the team: The Partnerships Integration team works as a part of our Product Engineering group and acts as the gateway for Melio's external partners. We maintain long-term relationships, and provide the features and tools that partners need to integrate with our platform. Our integrations enable partners to embed, white-label, or customize Melio's payment capabilities, opening up new business opportunities. We collaborate with different stakeholders to deliver seamless integrations, build trust with our partners, and push forward Melio's mission of transforming business payments. We work with modern technologies, including React, Node.js, TypeScript, and AWS microservices, and we are agile and collaborative, constantly looking for ways to improve our partner experience, product reliability, and codebase. In this team, you'll be part of a high-performance culture that values innovation, problem-solving, and teamwork. About Melio USA: Competitive compensation packages: We strive to make each and every employee feel valued and appreciated. The annual base salary range for this position is $140,000-$160,000 Medical, Dental, and Vision: We offer generous and highly competitive plans with up to 100% employer-paid coverage, FSA and HSA. 401K matching and stock options: Feel the investment of working at a hyper-growth startup. Wellness: We take a holistic approach to wellness at Melio with a focus on providing financial, physical, emotional, social, and community support for our employees. Time Off: Time to rest and recharge is a priority for us. We offer competitive vacation time, sick days, holidays, parental leave and wedding days to allow you to take the time you need, when you need it. Food perks: Enjoy our fully stocked kitchens, along with a weekly Seamless stipend and plenty of catered meals each week. Office culture: Thrive in our collaborative offices in New York City or Denver, in a hybrid working environment. We are dog friendly as well! Growth and development: Lean on the diverse team to foster professional and personal growth through workshops, mentorship programs, and team building activities. Melio builds business-to-business (B2B) payment tools so small business owners can spend less time in the back office and more time on their craft. As the fastest-growing B2B payment platform in the US, Melio is working hard to find new and better ways to help small businesses succeed in the ways that work best for them. Melio's diversity, equity and inclusion efforts have always been a top priority within our team. We are an Equal Opportunity Employer, and all of our employees encompass different strengths, experiences and backgrounds. DEI within Melio prioritizes race, gender, age, disability status, veteran status, sexual orientation, religion and many other parts that make up one's identity. Having a diverse team across all offices is key to our success, and inclusion is each #TeaMelio member's responsibility. Melio accepts job applications on an ongoing basis until the position is filled. If you are interested in applying for this job opportunity, please do so directly on our careers page (or if you're here already, scroll down and apply now!). This employer participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S.",https://www.indeed.com/rc/clk?jk=749eff8488e9320c&bb=5MUgExI1yxvdSBu4tCRsLeVZPtJN3plJuXtTNROQN6zdH04THQ6KLPWTDC-XGd0OD4X1dK-hOfPgDpSVH6h5L0pVCWiRdY3wEGkrTJzSwEIYq6Tya9lTzbWongBM7FZmvbVEMPEFkiEyB1AOhU8W5g%3D%3D&xkcb=SoDk67M3sAhVaCQpV50PbzkdCdPP&fccid=0d5b57a04e994eb3&vjs=3,Not available
Software Engineer,FinStaff Finders,"Backend / Infrastructure Engineer – Founding-Level Hire Looking for a world-class backend/infra engineer —someone who thrives in ambiguous environments, treats engineering as a craft, and is motivated by impact and ownership. Why This Role? Founding-Level Impact : Set the technical and cultural tone as one of the first engineers. Frontier Work : Partner directly with researchers training the next generation of agentic AI. Velocity & Scale : Build systems in Python, Go, TypeScript to support rapid 0→1 product cycles. Serious Ownership : Take features end-to-end, from architecture to production, with freedom to shape direction. Who Thrives Here Engineers who have been founding engineers, startup founders, or key builders at top-tier companies. Individuals who are comfortable with 50–60 hour weeks, in-person collaboration, and high-stakes iteration . Builders who want their work to directly influence how agentic AI develops globally. The Package Competitive cash + meaningful equity at the ground floor 100% employer-paid medical & dental Professional development budget Daily team lunches, commuter benefits Unlimited PTO Job Type: Full-time Pay: $150,000.00 - $190,000.00 per year Benefits: Visa sponsorship Work Location: In person",https://www.indeed.com/rc/clk?jk=8874180a57ac41e9&bb=5MUgExI1yxvdSBu4tCRsLVogczD2gLtivOB8kN8Upgu0vqr09Y08_s2l0PnHvyyP8jqlSdOH8AeYhoNZC5pWwSR-dQyCjEdjCX8joDqLh_EoptVFikXmnlQJRmhtponviwR9KAayfnZWsebUvLWYkw%3D%3D&xkcb=SoBQ67M3sAhVaCQpV50ObzkdCdPP&fccid=4dc061d6b37354a2&cmp=FinStaff-Finders&ti=Software+Engineer&vjs=3,Not available
Development Engineer,Macquarie Group Limited,"Bring your developer engineering skills to our Multi-Asset Engineering team supporting Macquarie Asset Management. You will be at the center of many development activities as you deliver common platforms and solutions to enable a broader engineering community within our global asset management business. At Macquarie, our advantage is bringing together diverse people and empowering them to shape all kinds of possibilities. We are a global financial services group operating in 31 markets and with 56 years of unbroken profitability. You’ll be part of a friendly and supportive team where everyone - no matter what role - contributes ideas and drives outcomes. What role will you play? You will be responsible for designing, developing, and maintaining scalable and secure cloud infrastructure, while building and optimizing pipelines. Salary range for this position: $120,000-150,000/Year. Actual base salary may vary based upon, but not limited to, relevant experience, time in role, peer and market data, prior performance, business sector, and geographic location. You may also be eligible for an annual discretionary incentive compensation award. We offer a full spectrum of benefits, including Medical, Prescription Drug, Dental, Vision, Health Savings Account, Dependent Day Care Savings Account, Life Insurance, Disability and Other Insurance Plans, Paid Time Off (including Sick Leave, Parental Leave and Vacation), Holidays, 401(k), and Short/Long Term Disability, in addition to other special perks reserved for our employees. What you offer Cloud Expertise: Strong hands-on experience with AWS cloud services (e.g., S3, Lambda, EC2, RDS, Redshift, Glue, etc.) as well as GCP BigQuery Programming: Proficiency in Python for data processing and automation. Knowledge of UI frameworks, like React is a plus Data Engineering Tools: Advanced knowledge of dbt for data transformation and modeling. SQL: Expertise in writing complex SQL queries and optimizing database performance. Workflow Orchestration: Experience with Apache Airflow for building and managing workflows. We love hearing from anyone inspired to build a better future with us, if you're excited about the role or working at Macquarie we encourage you to apply. What we offer At Macquarie, you’re empowered to shape a career that’s rewarding in all the ways that matter most to you. Macquarie employees can access a wide range of benefits which, depending on eligibility criteria, include: 1 wellbeing leave day per year and a minimum of 25 days of annual leave 20 weeks’ paid parental leave for primary caregivers along with 12 days of paid transition leave upon return to work and 6 weeks’ paid leave for secondary caregivers 2 days of paid volunteer leave and donation matching Benefits and initiatives to support your physical, mental and financial wellbeing such as medical, prescription drug, dental, and vision insurance; health savings account and dependent day care savings account; life insurance, disability, and other insurance plans; 401(k) and short/long term disability Access to our Employee Assistance Program, a robust behavioural health network with counselling and coaching services Access to a wide range of learning and development opportunities, including reimbursement for professional membership or subscription Recognition and service awards Hybrid and flexible working arrangements, dependent on role Reimbursement for work from home equipment About Technology Technology enables every aspect of Macquarie, for our people, our customers and our communities. We’re a global team that is passionate about accelerating the digital enterprise, connecting people and data, building platforms and applications and designing tomorrow’s technology solutions. Our commitment to diversity, equity and inclusion We are committed to providing a working environment that embraces diversity, equity and inclusion. As an inclusive employer, Macquarie provides equal opportunities to all individuals regardless of race, color, religion, sex, sexual orientation, national origin, age, disability, protected veteran status, genetic information, marital status, gender identity or any other impermissible criterion or circumstance. Our aim is to provide reasonable accommodations to individuals who may need support during the recruitment process and through working arrangements. If you require additional assistance, please let us know during the application process.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Buby3bM6xh3PvoctOm6nU0sG10uZOdQYvMWxvRDCBuHbIGEB7N-q3yaefpI6LU-4TSjbvhjOXM52BF33ExMW8i3QOzh2B49rFeoLWJKLM9q8w5Se5JS3bbJA9iTQXouzHyAtCW3cRtjLnDEOPp4NRhvoQ6g1i5P2cKb4pAfBWYCu1nghnL-d_aoQajKJZuqefFwhXJZl-mtHqZeYjvUQVTYSEcMtTxZZd0ZztZs1BdRVUxkvBcQeZVsKHNMHVb8EDcU6BT8ziggwPxpEpTfge8OAt7-CT2dXZEo24ypbpgV3pcw3axtmLmkd87BUtoP9LmFdtiAu5YwpmBwr5J5ikeL8-tCnu05qsv1tB3PRVC5VA3QHrAGybHHhCo9QHzXQe1iVbvsMFzg1_plu69JphFM_sWWrsv8qW_IOfSAUnRzbEVBatLvl_GJb2jE7PlXViEEIRK1xybAFWZ9mG6mbRWrvGw7gGWvfzGYF0vmnc5l756W_i2ArzJdr-OCgi3-5fhSxjWutLHOw9pbd1KctpDDlXMzYkJF6ME59NVGQUvWL5f2dEPjtYsJoIBK0NJ-irrG5KEQaCq8A6bK_KykFnAiONUE70s6k9ulRppq45uD3eH52WFda1zbOWT_GeDk7BI94PJb3hdZg9lJj9180eUaSo_2997RSQB1ZBT-df0qA==&xkcb=SoA56_M3sAhVaCQpV50NbzkdCdPP&camk=nUmJqO2E8rgZCSKTi8wABA==&p=5&fvj=0&vjs=3,Not available
Senior Software Application Engineer,The Jewish Theological Seminary,"JOB DESCRIPTION: This position is responsible for the development, configuration, installation, troubleshooting and maintenance of existing and new systems, and storage resources on the JTSA campus. Working closely with other members of the IT team. RESPONSIBILITIES: The Senior Software Applications Engineer will administer and engineer all aspects of critical infrastructure applications and services (e.g. ERP, application servers and .NET applications on the servers, data storage backup, etc…) Design and develop and improve solutions using the software development cycle. Document software programs with diagrams and other documentation. Must be able to create and maintain API with different vendor applications. This position will provide assistance to and serve as backup for other members of the IT team. Participate in the development, installation, configuration, deployment, monitoring and maintenance of the Donor database and ERP LAN/Wan network environments Research, recommend and participate in implementation efforts for infrastructure services as they pertain to both technology solutions as well as internal processes and procedures. MINIMUM REQUIREMENTS: Knowledge of networking and TCP/IP protocols Advanced knowledge of .NET and all its services Ability to work with a variety of software applications including APIs Familiarity with and Dell VM servers Experience working in a fast paced environment Must be able to lift 50 lbs. Job Type: Full-time Pay: $75,000.00 - $85,000.00 per year Benefits: Health insurance Life insurance Retirement plan Vision insurance Schedule: Monday to Friday Work Location: In person",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCjkLt1jbmfSeppvmrXfKXjvpMIEZoM7gKfc2dDUyZThJuygjsfkh65ppI-pzqLxTcPqJNfMXWkkqGxhmVYThev94pEm21OBahhHx1KBHa0YC9riL4ZgYERn7JDYrWMnl6nTdZgwm6EQji-iYAv21gkBCV4pY3krXN5jT1DByJkHSYe6xSCIMQFkPC-JhTY_k4GpLwXas2Mr2bpNqo6CjV1OAx0bki11ua8EBZvvhmmqMCJMN4SQxF3Fm4iGEmI0Idcu3gpw1GIQPg2E0O3PR6aEvbN6PbuVm1w94c2Z5A-8wsfbyM3ys36CuVBCGlV_uIGu7U9evQKfmuXBmQab5PU9K3tJtITSdEPhH-FBbrLqGQM214qX4ILwXN4sifhqnhVQJyqzsumNbKa3hpSadxP3yCZIB3T3H3Wr3Qqta_P-3XXz38ZmixWx87vZC0EI4Ov8nHoLKdjc5m01RIfXYUPsEMePWnax1amzvQ0LL57UMuxNHlKex6R0e7z0-MCbBv900uDrMAXWU6KyZeRPbib7BC6cuQXwkM7tMSgp1DIl-JAk6gHDZJZ0se1cwG7w9OeLStNSRt8oCoN08FiucNK00mHhjkgBQzRUTnAn14a5RmU75bcaNsNhv726UTgHn4w2x8d5RL1gVtW7Z0Nih412pl708ok-ios5fvQ9D1JmNgv-iOOFML7eM9ecbarkw=&xkcb=SoCN6_M3sAhVaCQpV50MbzkdCdPP&camk=UoKtGZLa3XIWEwPfiSG9kw==&p=6&fvj=0&vjs=3,Not available
Senior Software Application Engineer,The Jewish Theological Seminary,Not available,https://www.indeed.com/viewjob?jk=890abcdef0123456,Not available
Senior Software Engineer,Macquarie Group Limited,"Bring your strong developer engineering skills to our Multi-Asset Engineering team supporting Macquarie Asset Management. You will be at the center of many development activities as you deliver common platforms and solutions to enable a broader engineering community within our global asset management business. At Macquarie, our advantage is bringing together diverse people and empowering them to shape all kinds of possibilities. We are a global financial services group operating in 31 markets and with 56 years of unbroken profitability. You’ll be part of a friendly and supportive team where everyone - no matter what role - contributes ideas and drives outcomes. What role will you play? As a Sr Development Engineer you will be responsible for designing, developing, and maintaining scalable and secure cloud infrastructure, while building and optimizing pipelines. Salary range for this position: $180,000-220,000/Year. Actual base salary may vary based upon, but not limited to, relevant experience, time in role, peer and market data, prior performance, business sector, and geographic location. You may also be eligible for an annual discretionary incentive compensation award. We offer a full spectrum of benefits, including Medical, Prescription Drug, Dental, Vision, Health Savings Account, Dependent Day Care Savings Account, Life Insurance, Disability and Other Insurance Plans, Paid Time Off (including Sick Leave, Parental Leave and Vacation), Holidays, 401(k), and Short/Long Term Disability, in addition to other special perks reserved for our employees. What you offer AWS Expertise: Strong hands-on experience with AWS cloud services (e.g., S3, Lambda, EC2, RDS, Redshift, Glue, etc.) as well as GCP BigQuery Programming: Proficiency in Python for data processing and automation. Knowledge of UI frameworks, like React is a plus Data Engineering Tools: Advanced knowledge of dbt for data transformation and modeling. SQL: Expertise in writing complex SQL queries and optimizing database performance. Workflow Orchestration: Experience with Apache Airflow for building and managing workflows. We love hearing from anyone inspired to build a better future with us, if you're excited about the role or working at Macquarie we encourage you to apply. What we offer At Macquarie, you’re empowered to shape a career that’s rewarding in all the ways that matter most to you. Macquarie employees can access a wide range of benefits which, depending on eligibility criteria, include: 1 wellbeing leave day per year and a minimum of 25 days of annual leave 20 weeks’ paid parental leave for primary caregivers along with 12 days of paid transition leave upon return to work and 6 weeks’ paid leave for secondary caregivers 2 days of paid volunteer leave and donation matching Benefits and initiatives to support your physical, mental and financial wellbeing such as medical, prescription drug, dental, and vision insurance; health savings account and dependent day care savings account; life insurance, disability, and other insurance plans; 401(k) and short/long term disability Access to our Employee Assistance Program, a robust behavioural health network with counselling and coaching services Access to a wide range of learning and development opportunities, including reimbursement for professional membership or subscription Recognition and service awards Hybrid and flexible working arrangements, dependent on role Reimbursement for work from home equipment About Technology Technology enables every aspect of Macquarie, for our people, our customers and our communities. We’re a global team that is passionate about accelerating the digital enterprise, connecting people and data, building platforms and applications and designing tomorrow’s technology solutions. Our commitment to diversity, equity and inclusion We are committed to providing a working environment that embraces diversity, equity and inclusion. As an inclusive employer, Macquarie provides equal opportunities to all individuals regardless of race, color, religion, sex, sexual orientation, national origin, age, disability, protected veteran status, genetic information, marital status, gender identity or any other impermissible criterion or circumstance. Our aim is to provide reasonable accommodations to individuals who may need support during the recruitment process and through working arrangements. If you require additional assistance, please let us know during the application process.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Buby3bM6xh3PvoctOm6nU0sG10uZOdQYvMWxvRDCBuHbIGEB7N-q3yaefpI6LU-4TSjbvhjOXM54QN0Ua4IZpSH9u2gQmRRK0yLVRT23gTKIEeQMT4QQITRRKSUaY0zqCeYdXtR_VhEYabbKnM-61wax4Vuoay-3gnrLznWhd6sVE56wsRYXy-qISDK2c0f2gybnjFiadWK66OVIZ3lEYK9pF2Rja0xDD_Gwa1eX1SQuvaDTra39abyi7MjsuF9hn0gaXeVKeiBdANeWOm2yE45BHORmgMvjzviHzF3ve7SAbOcl7lG1KZ_SmIWJ1wUTPtHS_S7jjJ6qCXSDWqRUPRurGjI9P1Z7luOmq-e2lWD5mVHvJVb1HsDYzbySC4RGk8sDIj5NnYZG9m6DN9Rb57zglAaodSEMJ6h2mO-eAz1ffP4LFkvQfeTVyFfIKbNcD7zBuYzqaEU_Rw_AhCCfu4yRXrV46f8bZGbNCSKGa1JzXoIjL2xb-Ij3uSNxnSlgl9MUAKk8PjXW6RPRgVQRKBeqG7EKaexQr_digSOrxdmFn3m1x6IPQtI9bTColvWYremDNHorRo5Pp4HyOQNoI1daXDy-eoj4eyIGwNnRNCM6URfdeAtC0mK7GXLtGQD7N30p0-Y-cFjwmIqTOYm08y4vOukooOPYyGWtQrtt9FSA==&xkcb=SoBk6_M3sAhVaCQpV50DbzkdCdPP&camk=nUmJqO2E8rgZCSKTi8wABA==&p=7&fvj=0&vjs=3,Not available
Senior Software Engineer,RightClick,"Our client is looking for a Senior Software Engineer with strong Java development experience . This role involves working on complex backend systems that support time-sensitive data processing and transaction flows. The ideal candidate will bring a deep understanding of real-time systems and experience working in fast-paced, data-driven environments.This is a hybrid position based in the New York City Metropolitan area. Senior Software Engineer’s Responsibilities and Duties: Design, develop, and optimize high-performance Java applications for electronic trading platforms Integrate and maintain market data feeds (SIP and proprietary) and FIX-based trading workflows Work closely with traders, quants, and operations to improve latency, scalability, and system reliability Support and enhance post-trade processing systems Contribute to performance tuning and monitoring in a Linux environment Write tools and scripts (Python or similar) to automate tasks, data analysis, and system checks Senior Software Engineer’s Qualifications and Skills: At least 5 years of Java development experience, ideally in a low latency or high throughput environment Strong understanding of electronic trading systems , including the FIX Protocol Proficiency in Linux-based development environments Scripting skills with Python , Bash, or other relevant languages Excellent problem-solving and communication skills Prior experience in a financial services or trading environment strongly preferred RightClick is an equal opportunity employer who agrees not to discriminate against any employee or job applicant irrespective of race, color, creed, alienage, religion, sex, national origin, age, disability, gender (including gender identity), marital status, sexual orientation, citizenship or any other characteristic protected by law. Job Type: Full-time Pay: From $225,000.00 per year Benefits: 401(k) Dental insurance Health insurance Paid time off Vision insurance Work Location: In person",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DajVhKm2w0BSo5Ce7iaCIPhcmjO74NxyvRn83K4ImaS4mNlqTLjL7-i__fqDJgBqM2j-JVJ_2dm1pqnYYZilH6BWoIHUSOd0Xg7odAk3W_-GDoQIARwCBhshG7V29HxVlbSZZwN3JgEw1ocfTvbR5bjYfZItsu8hppEYHuO66exerL2w3UcDg40NY6-fx3jQTpbxgS4qb4uVPu4EC0rrKK5Cq-1HaXYglVzLEJ2okwor_TxUC-Qy24ohUic72gUwo5EEtTNsjy-iu-uEyg-pZWrCv3hE3ammnpjtAp323yPf_2voFH41IRMHRekMPoF8E0Gzrvnco9fKZPa-6qQgnY1qmXEEb5elNZfWvK17TJOJOUbCe1Ppo3fo89gvNz-a5aE64mhaFPP3cFxxeF9A6wdv8iHN33L0r1ijAVY_qJOOU3O8upj3PmXUNBo0G8tSwGsQsKQjU7NQYj6N3thGJv8Duyz0v44ewsyR3_zWZg3t1qNZJcRakRsfFStocHHnCdYf-e38QilxxUvM78w3HB0VRUEVlJw629tOD_yFx5Yy5ZsPxRH2H22GSsEp9NRN9kdh9XuEoLZipnHwRCaliWYP7wFamlobZldKS0nSmvcbyFRTODy4xZ0_uzdrA3_gBaiHrP5t3E9EXge3kB1zrdfVhAnYOw0jH8UJbWASIdnA==&xkcb=SoDQ6_M3sAhVaCQpV50CbzkdCdPP&camk=H-lBaXMUocJ1dbYbw_2WRQ==&p=8&fvj=0&vjs=3,Not available
