skill,count
python,34
aws,34
sql,32
agile,18
react,17
snowflake,17
azure,17
java,14
javascript,13
typescript,13
airflow,11
reporting,11
gcp,11
redshift,10
spark,10
scala,9
docker,9
statistics,8
databricks,8
kubernetes,8
c,8
dbt,7
kafka,7
hadoop,7
go,7
linux,7
bigquery,6
r,6
hive,5
git,5
tableau,5
excel,5
lambda,5
c#,4
postgresql,4
mysql,4
cassandra,4
nodejs,4
dashboards,4
dynamodb,3
ecs,3
angular,3
jira,3
nextjs,3
graphql,3
github,3
oracle,3
beam,3
pytorch,3
nlp,3
postman,2
mongodb,2
fastapi,2
db2,2
c++,2
vue,2
langchain,2
express,2
tensorflow,1
helm,1
jenkins,1
matlab,1
vite,1
ruby,1
confluence,1
rust,1
hdfs,1
flask,1
redis,1
kpis,1
sas,1
bash,1
springboot,1
statsmodels,1
looker,1
pytest,1
xgboost,1
numpy,1
cloudwatch,1
pandas,1
ionic,0
ruby on rails,0
laravel,0
websocket,0
aspnet,0
rest api,0
capcitor,0
bootstrap,0
electron,0
threejs,0
storybook,0
jquery,0
babel,0
webpack,0
tailwind,0
spss,0
astro,0
maven,0
unittest,0
mocha,0
chai,0
jest,0
npm,0
yarn,0
gradle,0
junit,0
bash scripting,0
regex,0
power bi,0
qlik,0
google data studio,0
sap,0
crystal reports,0
business intelligence,0
gitlab,0
intellij,0
bitbucket,0
slack,0
vscode,0
probability,0
hypothesis testing,0
a/b testing,0
data visualization,0
cypress,0
financial modeling,0
eclipse,0
docker compose,0
swagger,0
selenium,0
playwright,0
pycharm,0
ansible,0
django,0
jax,0
lightgbm,0
catboost,0
transformers,0
huggingface,0
mlflow,0
fastai,0
prophet,0
spacy,0
gensim,0
word2vec,0
reinforcementlearning,0
deep learning,0
computer vision,0
data mining,0
opencv,0
nltk,0
sqlite,0
objectivec,0
kotlin,0
swift,0
php,0
julia,0
perl,0
dart,0
vbnet,0
matplotlib,0
groovy,0
haskell,0
powershell,0
scikit-learn,0
keras,0
seaborn,0
feature engineering,0
mariadb,0
gatsby,0
promethus,0
gitlab ci,0
circleci,0
travisci,0
istio,0
consul,0
vault,0
grafana,0
terraform,0
cloudformation,0
ecr,0
sagemaker,0
kinesis,0
react native,0
svelte,0
github actions,0
data lake,0
neo4j,0
flink,0
elasticsearch,0
firestore,0
cockroachdb,0
cosmosdb,0
hbase,0
pig,0
presto,0
kudu,0
trino,0
storm,0
aws glue,0
azure data factory,0
gcp dataflow,0
kafka streams,0
data storytelling,0
