skill,count
sql,10
python,9
snowflake,9
aws,8
azure,7
redshift,7
spark,6
airflow,6
java,6
scala,5
agile,4
linux,4
kafka,4
hive,4
hadoop,4
mysql,4
cassandra,4
databricks,3
reporting,3
dynamodb,3
postman,2
dbt,2
javascript,2
lambda,2
kubernetes,1
beam,1
cloudwatch,1
pytest,1
helm,1
postgresql,1
tableau,1
yarn,0
crystal reports,0
flask,0
fastapi,0
springboot,0
ruby on rails,0
laravel,0
aspnet,0
business intelligence,0
spss,0
express,0
sas,0
tailwind,0
bootstrap,0
sap,0
google data studio,0
looker,0
jquery,0
django,0
nodejs,0
rest api,0
financial modeling,0
ecr,0
dashboards,0
sagemaker,0
kpis,0
probability,0
kinesis,0
react,0
react native,0
vue,0
statistics,0
angular,0
hypothesis testing,0
svelte,0
a/b testing,0
nextjs,0
data visualization,0
gatsby,0
graphql,0
websocket,0
npm,0
vite,0
slack,0
vscode,0
pycharm,0
intellij,0
eclipse,0
docker compose,0
gradle,0
swagger,0
selenium,0
playwright,0
cypress,0
junit,0
maven,0
unittest,0
mocha,0
chai,0
jest,0
confluence,0
jira,0
bitbucket,0
capcitor,0
webpack,0
babel,0
storybook,0
threejs,0
electron,0
qlik,0
power bi,0
excel,0
gitlab,0
ionic,0
astro,0
regex,0
cloudformation,0
bash scripting,0
git,0
github,0
ecs,0
ansible,0
grafana,0
pandas,0
scikit-learn,0
tensorflow,0
pytorch,0
keras,0
seaborn,0
matplotlib,0
statsmodels,0
nltk,0
spacy,0
opencv,0
xgboost,0
lightgbm,0
catboost,0
transformers,0
huggingface,0
langchain,0
mlflow,0
fastai,0
jax,0
numpy,0
powershell,0
promethus,0
bash,0
typescript,0
c,0
c++,0
c#,0
ruby,0
go,0
rust,0
kotlin,0
swift,0
php,0
r,0
julia,0
perl,0
matlab,0
dart,0
objectivec,0
vbnet,0
groovy,0
haskell,0
prophet,0
gensim,0
word2vec,0
reinforcementlearning,0
storm,0
aws glue,0
azure data factory,0
gcp dataflow,0
kafka streams,0
kudu,0
hdfs,0
data lake,0
gcp,0
docker,0
terraform,0
jenkins,0
github actions,0
gitlab ci,0
circleci,0
travisci,0
istio,0
consul,0
vault,0
trino,0
presto,0
flink,0
bigquery,0
deep learning,0
computer vision,0
nlp,0
data mining,0
feature engineering,0
sqlite,0
mongodb,0
redis,0
oracle,0
pig,0
db2,0
mariadb,0
neo4j,0
elasticsearch,0
firestore,0
cockroachdb,0
cosmosdb,0
hbase,0
data storytelling,0
